,Name,Inches,RAM,ROM,OS,Price,Links
171,vivo V25 Pro 8GB 128GB,6.56 inches,8GB + Mở rộng 8GB,128 GB,Android 12,139900000.0,https://cellphones.com.vn/vivo-v25-pro.html
172,Xiaomi 12,6.28 inches,8 GB,256 GB,"Android 12, MIUI 13",12590000.0,https://cellphones.com.vn/xiaomi-mi-12.html
173,OnePlus 11 8GB 128GB,6.7 inches,8 GB,128 GB,OxygenOS trên nền tảng Android™ 13,179900000.0,https://cellphones.com.vn/oneplus-11-8gb-128gb.html
174,vivo Y16,6.51 inches,4GB + Mở rộng 1GB,128 GB,Android 12 với giao diện FunTouch OS 12,44900000.0,https://cellphones.com.vn/vivo-y16.html
175,realme C30s 3GB 64GB,6.5 inches,3 GB,64 GB,realme UI Go Edition trên nền tảng Android 12,26900000.0,https://cellphones.com.vn/realme-c30s-3gb-64gb.html
176,Nokia 105 2 SIM (2019),1.77 inches,Không Có,Không Có,Không Có,520000.0,https://cellphones.com.vn/nokia-105-dual-sim-2019.html
177,Tecno Spark 10 8GB 128GB,6.56 inches,8 GB,128 GB,Android 13,35900000.0,https://cellphones.com.vn/tecno-spark-10.html
178,Nokia C31 3GB 32GB,6.7 inches,3 GB,32 GB,Android 12,31900000.0,https://cellphones.com.vn/nokia-c31.html
179,vivo V25 5G 8GB 128GB,6.44 inches,8GB + Mở rộng 8GB,128 GB,Android 12,104900000.0,https://cellphones.com.vn/vivo-v25.html
180,vivo T1X 8GB 128GB,6.58 inches,8 GB,128 GB,"Android 12, FunTouchOS 12",59900000.0,https://cellphones.com.vn/vivo-t1x-8gb-128gb.html
181,vivo Y02s 3G 32GB,6.51 inches,3 GB,32 GB,Android 12,32900000.0,https://cellphones.com.vn/vivo-y02s.html
182,vivo Y02,6.51 inches,2 GB,32 GB,Funtouch OS 12 (Android 12 Go edition),27900000.0,https://cellphones.com.vn/vivo-y02.html
183,Vivo T1 5G,6.44 inches,8GB + Mở rộng 4GB,128 GB,Android 12,7990000.0,https://cellphones.com.vn/vivo-t1-5g.html
184,vivo V25e 8GB 128GB,6.44 inches,8 GB,128 GB,Android 12,84900000.0,https://cellphones.com.vn/vivo-v25e.html
185,vivo Y22S 4GB 128GB,6.55 inches,4 GB,128 GB,Funtouch OS 12,52900000.0,https://cellphones.com.vn/vivo-y22s-4g-128gb.html
186,ASUS ROG Phone 5S 12GB 256GB,6.78 inches,12 GB,256 GB,Android 11,16490000.0,https://cellphones.com.vn/asus-rog-phone-5s-12gb.html
187,OnePlus 8T 5G,6.55 inches,12 GB,256 GB,Android 11,10990000.0,https://cellphones.com.vn/oneplus-8t-5g.html
188,Nubia Red Magic 6s Pro Cyborg 16GB 256GB,6.8 inches,16 GB,256 GB,"Android 11, RedMagic OS 4.0",15990.0,https://cellphones.com.vn/nubia-red-magic-6s-pro-256gb.html
189,Samsung Galaxy Z Fold3 5G 512GB,7.6 inches,12 GB,512 GB,Android 11,44990000.0,https://cellphones.com.vn/samsung-galaxy-z-fold-3-512gb.html
190,Nokia G21,6.5 inches,4 GB,128 GB,"Android 11, 2 năm nâng cấp hệ điều hành. 3 năm cập nhật bảo mật",4290000.0,https://cellphones.com.vn/nokia-g21.html
191,Nokia C20 2GB 16GB,6.52 inches,2 GB,16 GB,Không Có,1450000.0,https://cellphones.com.vn/nokia-c20-16gb.html
192,Vivo Y02A 3GB 32GB,6.51 inches,3 GB,32 GB,Android 12,27900000.0,https://cellphones.com.vn/vivo-y02a.html
193,vivo Y02s 3GB 64GB,6.51 inches,3 GB,64 GB,Android 12,3190000.0,https://cellphones.com.vn/vivo-y02s-3gb-64gb.html
194,Samsung Galaxy Z Flip4 Flex Mode Collection,6.7 inches,8 GB,256 GB,Android 12,25990000.0,https://cellphones.com.vn/samsung-galaxy-z-flip-4-flex-mode-collection.html
195,Xiaomi Poco X3 GT,6.6 inches,8 GB,128 GB,"Android 11, MIUI 12.5",6290000.0,https://cellphones.com.vn/xiaomi-poco-x3-gt.html
196,Xiaomi Redmi 9A,6.53 inches,2 GB,32 GB,"Android 10, MIUI 12",1850000.0,https://cellphones.com.vn/xiaomi-redmi-9a.html
197,realme C21Y 4GB 64GB,6.5 inches,4 GB,64 GB,Android 11,42900000.0,https://cellphones.com.vn/realme-c21y-4gb-64gb.html
198,vivo X80,6.78 inches,12 GB,256 GB,"Funtouch OS 12, Android 12",15990000.0,https://cellphones.com.vn/vivo-x80.html
199,vivo X50 Pro 8GB 256GB,6.56 inches,8 GB,256 GB,Funtouch OS 10.5,8590000.0,https://cellphones.com.vn/vivo-x50-pro.html
200,Vsmart Bee 5,6.0 inches,Không Có,16 GB,9.0 (Pie),1590000.0,https://cellphones.com.vn/vsmart-bee-5.html
201,Huawei P30 Lite,6.15 inches,6 GB,128 GB,Android v9.0 (Pie),7490000.0,https://cellphones.com.vn/huawei-p30-lite-1.html
202,Huawei P30 Pro,6.4 inches,8 GB,256 GB,Android v9.0 (Pie),23990000.0,https://cellphones.com.vn/huawei-p30-pro-1.html
203,Huawei P30,6.1 inches,8 GB,128 GB,Android v9.0 (Pie),17990000.0,https://cellphones.com.vn/huawei-p30-1.html
204,Samsung Galaxy A51 6GB,6.5 inches,Không Có,64 GB,10,7990000.0,https://cellphones.com.vn/samsung-galaxy-a51-19670.html
