,Name,Inches,RAM,ROM,OS,Price,Links
63,Xiaomi POCO X5 Pro 5G 6GB 128GB,6.67 inches,6 GB,128 GB,MIUI 14 cho POCO,86900000.0,https://cellphones.com.vn/poco-x5-pro.html
64,Xiaomi Redmi 12C 4GB 64GB,6.71 inches,4 GB,64 GB,Android 13,35900000.0,https://cellphones.com.vn/xiaomi-redmi-12c.html
65,ASUS ROG Phone 7 16GB 512GB,6.78 inches,16 GB,512 GB,Android 13,24990000.0,https://cellphones.com.vn/asus-rog-phone-7.html
66,iPhone SE 2022 | Chính hãng VN/A,4.7 inches,4 GB,64 GB,iOS 15,9990000.0,https://cellphones.com.vn/iphone-se-2022.html
67,OnePlus Nord CE 3 Lite - Chỉ có tại CellphoneS,6.72 inches,8 GB,256 GB,Android 13,61900000.0,https://cellphones.com.vn/oneplus-nord-ce-3-lite.html
68,Nokia G22 4GB 128GB,6.52 inches,4 GB,128 GB,Android™ 12,39900000.0,https://cellphones.com.vn/nokia-g22.html
69,Samsung Galaxy A13 (4G),6.6 inches,4 GB,128 GB,Android 12,41900000.0,https://cellphones.com.vn/samsung-galaxy-a13.html
70,Xiaomi POCO M5 4GB 64GB,6.58 inches,4 GB,64 GB,"Android 12, MIUI 13",39900000.0,https://cellphones.com.vn/xiaomi-poco-m5.html
71,iPhone 14 256GB | Chính hãng VN/A,6.1 inches,6 GB,256 GB,iOS 16,259900000.0,https://cellphones.com.vn/iphone-14-256gb.html
72,OPPO Reno8,6.4 inches,8 GB,256 GB,Android 12,89900000.0,https://cellphones.com.vn/oppo-reno-8.html
73,ASUS ROG Phone 6 16GB 512GB - Chỉ có tại CellphoneS,6.78 inches,16 GB,512 GB,Android 12,209900000.0,https://cellphones.com.vn/asus-rog-phone-6.html
74,Infinix Hot 30i,6.56 inches,4GB + Mở rộng 4GB,128 GB,Android 12,2390000.0,https://cellphones.com.vn/infinix-hot-30i.html
75,realme 10 8GB 256GB,6.4 inches,8 GB,256 GB,"Android 12, Realme UI 3.0",71900000.0,https://cellphones.com.vn/realme-10.html
76,Samsung Galaxy S23 Plus 8GB 256GB,6.6 inches,8 GB,256 GB,Android,269900000.0,https://cellphones.com.vn/samsung-galaxy-s23-plus.html
77,OPPO A57,6.56 inches,4 GB,64 GB,"ColorOS 12.1, nền tảng Android 12",44900000.0,https://cellphones.com.vn/oppo-a57.html
78,iPhone 12 Pro 128GB I Chính hãng VN/A,6.1 inches,6 GB,128 GB,iOS 14.1 hoặc cao hơn (Tùy vào phiên bản phát hành),269900000.0,https://cellphones.com.vn/iphone-12-pro.html
79,Samsung Galaxy A73 128GB,6.7 inches,8 GB,128 GB,Android 12,119900000.0,https://cellphones.com.vn/samsung-galaxy-a73-128gb.html
80,Xiaomi Redmi Note 11S,6.43 inches,8 GB,128 GB,"MIUI 13, Android 11",66900000.0,https://cellphones.com.vn/xiaomi-redmi-note-11s.html
81,realme 9 Pro Plus,6.4 inches,8 GB,128 GB,"UI 3.0, Android 12",69900000.0,https://cellphones.com.vn/realme-9-pro-plus.html
82,OPPO Reno7 4G (8GB - 128GB),6.43 inches,8 GB,128 GB,"Android 11, ColorOS 12",79900000.0,https://cellphones.com.vn/oppo-reno7-128gb.html
83,Samsung Galaxy A14 4G,6.6 inches,4 GB,128 GB,Android 13,44900000.0,https://cellphones.com.vn/samsung-galaxy-a14-4g.html
84,POCO X5 5G 6GB 128GB - Chỉ có tại CellphoneS,6.67 inches,6 GB,128 GB,MIUI 13 (Android 12),64900000.0,https://cellphones.com.vn/poco-x5.html
85,Xiaomi Mi 11 Lite 5G,6.55 inches,8 GB,128 GB,"Android 11, MIUI 12",104900000.0,https://cellphones.com.vn/xiaomi-mi-11-lite.html
86,Nokia C31 4GB 128GB,6.7 inches,4 GB,128 GB,Android 12,36900000.0,https://cellphones.com.vn/nokia-c31-4gb-128gb.html
87,Xiaomi Redmi Note 11 Pro 5G,6.67 inches,8 GB,128 GB,"MIUI 13, Android 11",89900000.0,https://cellphones.com.vn/xiaomi-redmi-note-11-pro-5g.html
88,OPPO Reno 7 Pro,6.5 inches,12 GB,256 GB,"Android 11, ColorOS 12",189900000.0,https://cellphones.com.vn/oppo-reno7-pro.html
89,OPPO Reno8 5G 8GB 256GB,6.4 inches,8 GB,256 GB,Android 12,13990000.0,https://cellphones.com.vn/oppo-reno-8-5g.html
90,Xiaomi Redmi Note 11 Pro Plus 5G - Chỉ có tại CellphoneS,6.67 inches,8 GB,256 GB,"Android 11, MIUI 12.5",99900000.0,https://cellphones.com.vn/xiaomi-redmi-note-11-pro-plus.html
91,ASUS ROG Phone 6 12GB 256GB,6.78 inches,12 GB,256 GB,Android 12,189900000.0,https://cellphones.com.vn/asus-rog-phone-6-12gb-256gb.html
92,Samsung Galaxy A04s,6.5 inches,4 GB,64 GB,Android 12 One UI,39900000.0,https://cellphones.com.vn/samsung-galaxy-a04s.html
