,Name,Price,OS,RAM,ROM,Links
15,Điện thoại iPhone 14 128GB,19290000.0,iOS 16,6 GB,128 GB,https://www.thegioididong.com/dtdd/iphone-14
16,Điện thoại Vivo Y16 64GB,3590000.0,Android 12,4 GB,64 GB,https://www.thegioididong.com/dtdd/vivo-y16-64gb
17,Điện thoại realme C30s (2GB/32GB),1790000.0,Android 12 (Go Edition),2 GB,32 GB,https://www.thegioididong.com/dtdd/realme-c30s-2gb
18,Điện thoại Samsung Galaxy S23+ 5G 256GB,19990000.0,Android 13,8 GB,256 GB,https://www.thegioididong.com/dtdd/samsung-galaxy-s23-plus
19,Điện thoại iPhone 14 Plus 128GB,21790000.0,iOS 16,6 GB,128 GB,https://www.thegioididong.com/dtdd/iphone-14-plus
20,Điện thoại Vivo Y22s 4GB,21790000.0,Android 12,4 GB,128 GB,https://www.thegioididong.com/dtdd/vivo-y22s-4gb
21,Điện thoại Samsung Galaxy Z Fold4 5G 256GB,29990000.0,Android 12,12 GB,256 GB,https://www.thegioididong.com/dtdd/samsung-galaxy-z-fold4
22,Điện thoại Xiaomi 12T 5G 256GB,11990000.0,Android 12,8 GB,256 GB,https://www.thegioididong.com/dtdd/xiaomi-12t-256gb
23,Điện thoại Xiaomi Redmi A1,1990000.0,Android 12 (Go Edition),2 GB,32 GB,https://www.thegioididong.com/dtdd/xiaomi-redmi-a1
24,Điện thoại OPPO Reno8 Pro 5G,17990000.0,Android 12,12 GB,256 GB,https://www.thegioididong.com/dtdd/oppo-reno8-pro
25,Điện thoại Vivo Y02s 32GB,2890000.0,Android 12,3 GB,32 GB,https://www.thegioididong.com/dtdd/vivo-y02s-32gb
26,Điện thoại OPPO A55,3490000.0,Android 11,4 GB,64 GB,https://www.thegioididong.com/dtdd/oppo-a55-4g
27,Điện thoại Vivo Y02A,2790000.0,Android 12 (Go Edition),3 GB,32 GB,https://www.thegioididong.com/dtdd/vivo-y02a
28,Điện thoại realme 10,6290000.0,Android 12,8 GB,256 GB,https://www.thegioididong.com/dtdd/realme-10
29,Điện thoại Nokia C21 Plus 32GB,1950000.0,Android 11 (Go Edition),3 GB,32 GB,https://www.thegioididong.com/dtdd/nokia-c21-plus-32gb
30,Điện thoại Samsung Galaxy A04s,3490000.0,Android 12,4 GB,64 GB,https://www.thegioididong.com/dtdd/samsung-galaxy-a04s
31,Điện thoại Vivo V25 5G,8490000.0,Android 12,8 GB,128 GB,https://www.thegioididong.com/dtdd/vivo-v25
